"Model3","Model4","Model5","Model6","Model7","Best","Error","RepID"
-5412.95,-5353.83,-4908.1,-4928.67,-4992.13,5,0.01,1
-5999.17,-5769.98,-5430.54,-5819.31,-5529.26,5,0.01,2
-6638.25,-6249.85,-6028.01,-6073.22,-6134.12,5,0.01,3
-5637.16,-5122.86,-5009.33,-5036.87,-5101.52,5,0.01,4
-5593.02,-5165.17,-5058.31,-5067.39,-5140.43,5,0.01,5
-5982.73,-5700.3,-5464.57,-5849.27,-5921.38,5,0.01,6
-5752.5,-5501.35,-5284.07,-5317.8,-5505.52,5,0.01,7
-6017.14,-5701.21,-5489.08,-5541.16,-5609.06,5,0.01,8
-6032.63,-5506.42,-5869.87,-5405.82,-5446.45,6,0.01,9
-6578.19,-6346.96,-6074.2,-5982.78,-6043.06,6,0.01,10
-6805.05,-6399.86,-6164.6,-6209.77,-6269.32,5,0.01,11
-6139.63,-5720.36,-5939.11,-5635.34,-6345.6,6,0.01,12
-6962.6,-6485.25,-6202.91,-6934.74,-6297.44,5,0.01,13
-5816.47,-5502.66,-5365.73,-5409.32,-5552.76,5,0.01,14
-5694.08,-5336.78,-5187.1,-5216.47,-5284.98,5,0.01,15
-6312.78,-5841.85,-5636.5,-5691.38,-5755.3,5,0.01,16
-6309.03,-5881.45,-6559.92,-5780.36,-5842.68,6,0.01,17
-6813.41,-6385.94,-6123.11,-7009.47,-6302.73,5,0.01,18
-6282.38,-5819.9,-6175.07,-5661.11,-5725.48,6,0.01,19
-5755.45,-5314.56,-5159.92,-5757.45,-5844.95,5,0.01,20
-6141.31,-5843.9,-5662.4,-5697.67,-5755.17,5,0.01,21
-6297.13,-5928.13,-5807.85,-5855.73,-5921.52,5,0.01,22
-6166.6,-5907.34,-5682.48,-5734.1,-5804.88,5,0.01,23
-6562.52,-5984.74,-5839.53,-5879,-5932.87,5,0.01,24
-6053.95,-5821.7,-5638.74,-5681.7,-5732.8,5,0.01,25
-5436.52,-5125.74,-4842.16,-4884.5,-4942.24,5,0.01,26
-6794.54,-6415.77,-7101.92,-6225,-6294.58,6,0.01,27
-6880.46,-6431.06,-6094.37,-6112.11,-6173.37,5,0.01,28
-6105.24,-5736.76,-5615.46,-5645.58,-5935.22,5,0.01,29
-6085.73,-5789.97,-5575.36,-5609.48,-5663.68,5,0.01,30
-5888.13,-5567.76,-5387.6,-5418.08,-5481.39,5,0.01,31
-5963.73,-5555.94,-5433.06,-5459.67,-5511.38,5,0.01,32
-5848.95,-5596.74,-5439.64,-5481.43,-5587.3,5,0.01,33
-6500.97,-6202.13,-5746.68,-6235.19,-5854.36,5,0.01,34
-6037.33,-5643.73,-5523.31,-5793.49,-5627.78,5,0.01,35
-6455.69,-6550.85,-5861.98,-5908.61,-6200.56,5,0.01,36
-6025.86,-5469.89,-5396.96,-5431.54,-5507.62,5,0.01,37
-6439.54,-6197,-5909.05,-5947.39,-6003.5,5,0.01,38
-7176.4,-6256.41,-6047.97,-6076.36,-6145.28,5,0.01,39
-6634.46,-6203.97,-5959.84,-6002.1,-6060.87,5,0.01,40
-5650.97,-5310.25,-5177.05,-5197.31,-5249.28,5,0.01,41
-6934.53,-6514.84,-6274.22,-6908.29,-6974.23,5,0.01,42
-6559.29,-6159.05,-5943.62,-5997.3,-6322.68,5,0.01,43
-6477.17,-6013.09,-5913.89,-5960.41,-6024.74,5,0.01,44
-6907.96,-6480.12,-7197.17,-6276.7,-6325.41,6,0.01,45
-5416.24,-5127.2,-5048.43,-5082.7,-5140.98,5,0.01,46
-5867.39,-5305.38,-5197.74,-5208.88,-5272.02,5,0.01,47
-6457.81,-6071.92,-5858.48,-5896.13,-6039.81,5,0.01,48
-6399.67,-6042.38,-5875.05,-5919.9,-5979.53,5,0.01,49
-6821.67,-6488.44,-6228.72,-6267.99,-6334.09,5,0.01,50
-6187.31,-5807.55,-5599.26,-5629.99,-5692.51,5,0.01,51
-6454.57,-6772.11,-5864.18,-5906.68,-5973.04,5,0.01,52
-6408.78,-6166.03,-5994.35,-6042.45,-6183.13,5,0.01,53
-5106.14,-4882.13,-4701.44,-4739.3,-4927.54,5,0.01,54
-6043,-5764.28,-5599.21,-5640.6,-5704.1,5,0.01,55
-5928.57,-5463.04,-5348.76,-5379.78,-5439.62,5,0.01,56
-6373.2,-6293.18,-5751.14,-5802.28,-5866.74,5,0.01,57
-5596.64,-5303.39,-5089.63,-5131.76,-5434.59,5,0.01,58
-6207.63,-5869.58,-5737.63,-5775.64,-5833.02,5,0.01,59
-5444.33,-5158.07,-5025.52,-5040.56,-5104.17,5,0.01,60
-6650.48,-6133.58,-5938.76,-5980.66,-6042.14,5,0.01,61
-5487.17,-5176.28,-4994.94,-5021.25,-5078.2,5,0.01,62
-6709.62,-7014.08,-6134.05,-6178.53,-6440.57,5,0.01,63
-6328.1,-6065.31,-5833.82,-5871.04,-6133.65,5,0.01,64
-6234.41,-5818.04,-5685.97,-5720.71,-5781.14,5,0.01,65
-6102.47,-5727.03,-5545.87,-5590.11,-5651.28,5,0.01,66
