"Accuracy","Precision","Recall","Exp","Error","RepID"
1,1,1,"Uniform",0.01,1
0.99,0.967741935483871,1,"Uniform",0.01,2
1,1,1,"Uniform",0.01,3
1,1,1,"Uniform",0.01,4
1,1,1,"Uniform",0.01,5
1,1,1,"Uniform",0.01,6
1,1,1,"Uniform",0.01,7
1,1,1,"Uniform",0.01,8
1,1,1,"Uniform",0.01,9
0.99,0.967741935483871,1,"Uniform",0.01,10
1,1,1,"Uniform",0.01,11
1,1,1,"Uniform",0.01,12
1,1,1,"Uniform",0.01,13
0.99,0.967741935483871,1,"Uniform",0.01,14
1,1,1,"Uniform",0.01,15
1,1,1,"Uniform",0.01,16
1,1,1,"Uniform",0.01,17
1,1,1,"Uniform",0.01,18
0.99,0.967741935483871,1,"Uniform",0.01,19
1,1,1,"Uniform",0.01,20
1,1,1,"Uniform",0.01,21
1,1,1,"Uniform",0.01,22
1,1,1,"Uniform",0.01,23
1,1,1,"Uniform",0.01,24
1,1,1,"Uniform",0.01,25
1,1,1,"Uniform",0.01,26
1,1,1,"Uniform",0.01,27
1,1,1,"Uniform",0.01,28
1,1,1,"Uniform",0.01,29
1,1,1,"Uniform",0.01,30
0.99,0.967741935483871,1,"Uniform",0.01,31
1,1,1,"Uniform",0.01,32
0.99,0.967741935483871,1,"Uniform",0.01,33
1,1,1,"Uniform",0.01,34
1,1,1,"Uniform",0.01,35
1,1,1,"Uniform",0.01,36
1,1,1,"Uniform",0.01,37
1,1,1,"Uniform",0.01,38
1,1,1,"Uniform",0.01,39
1,1,1,"Uniform",0.01,40
1,1,1,"Uniform",0.01,41
1,1,1,"Uniform",0.01,42
1,1,1,"Uniform",0.01,43
1,1,1,"Uniform",0.01,44
0.99,0.967741935483871,1,"Uniform",0.01,45
1,1,1,"Uniform",0.01,46
1,1,1,"Uniform",0.01,47
1,1,1,"Uniform",0.01,48
1,1,1,"Uniform",0.01,49
1,1,1,"Uniform",0.01,50
1,1,1,"Uniform",0.01,51
1,1,1,"Uniform",0.01,52
1,1,1,"Uniform",0.01,53
0.98,0.9375,1,"Uniform",0.01,54
1,1,1,"Uniform",0.01,55
1,1,1,"Uniform",0.01,56
0.99,0.967741935483871,1,"Uniform",0.01,57
1,1,1,"Uniform",0.01,58
1,1,1,"Uniform",0.01,59
1,1,1,"Uniform",0.01,60
1,1,1,"Uniform",0.01,61
1,1,1,"Uniform",0.01,62
0.83,1,1,"Uniform",0.01,63
1,1,1,"Uniform",0.01,64
1,1,1,"Uniform",0.01,65
1,1,1,"Uniform",0.01,66
1,1,1,"Uniform",0.01,67
1,1,1,"Uniform",0.01,68
1,1,1,"Uniform",0.01,69
1,1,1,"Uniform",0.01,70
1,1,1,"Uniform",0.01,71
1,1,1,"Uniform",0.01,72
1,1,1,"Uniform",0.01,73
1,1,1,"Uniform",0.01,74
1,1,1,"Uniform",0.01,75
1,1,1,"Uniform",0.01,76
1,1,1,"Uniform",0.01,77
1,1,1,"Uniform",0.01,78
1,1,1,"Uniform",0.01,79
1,1,1,"Uniform",0.01,80
0.99,0.967741935483871,1,"Uniform",0.01,81
1,1,1,"Uniform",0.01,82
0.99,0.967741935483871,1,"Uniform",0.01,83
1,1,1,"Uniform",0.01,84
1,1,1,"Uniform",0.01,85
0.99,0.967741935483871,1,"Uniform",0.01,86
0.99,0.967741935483871,1,"Uniform",0.01,87
1,1,1,"Uniform",0.01,88
1,1,1,"Uniform",0.01,89
1,1,1,"Uniform",0.01,90
1,1,1,"Uniform",0.01,91
0.99,0.967741935483871,1,"Uniform",0.01,92
1,1,1,"Uniform",0.01,93
0.99,0.967741935483871,1,"Uniform",0.01,94
1,1,1,"Uniform",0.01,95
1,1,1,"Uniform",0.01,96
1,1,1,"Uniform",0.01,97
1,1,1,"Uniform",0.01,98
1,1,1,"Uniform",0.01,99
1,1,1,"Uniform",0.01,100
0.98,0.9375,1,"Uniform",0.05,1
0.79,0.857142857142857,1,"Uniform",0.05,2
0.99,0.967741935483871,1,"Uniform",0.05,3
0.96,0.90625,0.966666666666667,"Uniform",0.05,4
1,1,1,"Uniform",0.05,5
0.98,0.966666666666667,0.966666666666667,"Uniform",0.05,6
0.85,0.878787878787879,0.966666666666667,"Uniform",0.05,7
0.99,1,0.966666666666667,"Uniform",0.05,8
0.97,0.909090909090909,1,"Uniform",0.05,9
0.99,0.967741935483871,1,"Uniform",0.05,10
0.99,0.967741935483871,1,"Uniform",0.05,11
1,1,1,"Uniform",0.05,12
0.98,0.9375,1,"Uniform",0.05,13
0.99,0.967741935483871,1,"Uniform",0.05,14
0.97,0.935483870967742,0.966666666666667,"Uniform",0.05,15
1,1,1,"Uniform",0.05,16
0.99,0.967741935483871,1,"Uniform",0.05,17
0.98,0.9375,1,"Uniform",0.05,18
0.97,0.909090909090909,1,"Uniform",0.05,19
0.95,0.903225806451613,0.933333333333333,"Uniform",0.05,20
0.97,0.909090909090909,1,"Uniform",0.05,21
1,1,1,"Uniform",0.05,22
0.98,0.9375,1,"Uniform",0.05,23
1,1,1,"Uniform",0.05,24
0.98,0.9375,1,"Uniform",0.05,25
0.96,0.90625,0.966666666666667,"Uniform",0.05,26
0.98,0.9375,1,"Uniform",0.05,27
0.97,0.909090909090909,1,"Uniform",0.05,28
0.97,0.96551724137931,0.933333333333333,"Uniform",0.05,29
0.98,0.9375,1,"Uniform",0.05,30
0.97,0.909090909090909,1,"Uniform",0.05,31
1,1,1,"Uniform",0.05,32
0.99,0.967741935483871,1,"Uniform",0.05,33
0.97,0.935483870967742,0.966666666666667,"Uniform",0.05,34
