FBP, BGP, LogMarginal
0.103601, 0.103601, -37052.7
0.100044, 0.100044, -36846.1
0.100828, 0.100828, -36822.2
0.100158, 0.100158, -36819.3
0.100652, 0.100652, -36816.8
0.100652, 0.100652, -36815.4
0.10183, 0.10183, -36815.3
0.10129, 0.10129, -36815.5
0.0967179, 0.0967179, -36814.2
0.0989193, 0.0989193, -36725.1
0.09997, 0.09997, -36636.5
0.0981105, 0.0981105, -36625.2
0.0981105, 0.0981105, -36612.5
0.0996661, 0.0996661, -36519.8
0.098799, 0.098799, -36494
0.099245, 0.099245, -36490.6
0.0981717, 0.0981717, -36487.7
0.0984952, 0.0984952, -36481.1
0.100659, 0.100659, -36477
0.0993888, 0.0993888, -36477.1
0.0988725, 0.0988725, -36475.4
0.0993971, 0.0993971, -36473.6
0.0993971, 0.0993971, -36472.2
0.0983225, 0.0983225, -36470
0.09991, 0.09991, -36467.2
0.0995541, 0.0995541, -36465.1
0.0995541, 0.0995541, -36465.1
0.0997659, 0.0997659, -36464.8
0.0997659, 0.0997659, -36464.8
0.0998523, 0.0998523, -36464.9
0.100995, 0.100995, -36464.9
0.100452, 0.100452, -36465.8
0.101412, 0.101412, -36465.6
0.0991113, 0.0991113, -36466.9
0.10003, 0.10003, -36465
0.0992003, 0.0992003, -36465.6
0.0992003, 0.0992003, -36465.2
0.0989028, 0.0989028, -36464.9
0.0989028, 0.0989028, -36465
0.0989028, 0.0989028, -36464.8
0.0989028, 0.0989028, -36464.8
0.0989028, 0.0989028, -36465
0.0994586, 0.0994586, -36465
0.100638, 0.100638, -36464.9
0.0993361, 0.0993361, -36465.7
0.0990181, 0.0990181, -36465.5
0.100194, 0.100194, -36464.9
0.0980161, 0.0980161, -36465.1
0.100554, 0.100554, -36465.7
0.0989571, 0.0989571, -36465.5
0.0989571, 0.0989571, -36465.1
0.0996129, 0.0996129, -36465.2
0.0984255, 0.0984255, -36465.1
0.0984255, 0.0984255, -36465.3
0.0984255, 0.0984255, -36465.1
0.10006, 0.10006, -36465.3
0.099204, 0.099204, -36465.2
0.0993368, 0.0993368, -36464.9
0.0993368, 0.0993368, -36465
0.0983725, 0.0983725, -36464.6
0.0983725, 0.0983725, -36465.1
0.0983831, 0.0983831, -36465.1
0.0987291, 0.0987291, -36465.1
0.100707, 0.100707, -36465
0.0994386, 0.0994386, -36465.4
0.0984111, 0.0984111, -36464.7
0.0996237, 0.0996237, -36464.9
0.0996237, 0.0996237, -36464.9
0.100022, 0.100022, -36465
0.0983877, 0.0983877, -36465.2
0.0986708, 0.0986708, -36465.1
0.0973123, 0.0973123, -36465.1
0.0992806, 0.0992806, -36466.5
0.099158, 0.099158, -36464.9
0.099582, 0.099582, -36465.2
0.0992468, 0.0992468, -36464.8
0.098388, 0.098388, -36464.8
0.0997298, 0.0997298, -36465.1
0.0991915, 0.0991915, -36464.8
0.0974759, 0.0974759, -36465
0.0983689, 0.0983689, -36465.9
0.0983689, 0.0983689, -36465.1
0.0981295, 0.0981295, -36465
0.0999198, 0.0999198, -36465.3
0.0993939, 0.0993939, -36465.1
0.0993939, 0.0993939, -36465.2
0.0996918, 0.0996918, -36464.9
0.099347, 0.099347, -36464.9
0.0986189, 0.0986189, -36464.9
0.0991733, 0.0991733, -36465.1
0.0990362, 0.0990362, -36464.6
0.10062, 0.10062, -36464.9
0.0997746, 0.0997746, -36465.7
0.0983887, 0.0983887, -36465.1
0.0991985, 0.0991985, -36464.8
0.0991985, 0.0991985, -36464.7
0.100391, 0.100391, -36464.9
0.0989262, 0.0989262, -36465.4
0.0989262, 0.0989262, -36465.3
0.0985722, 0.0985722, -36465
