FBP, BGP, LogMarginal
0.10732, 0.10732, -13785.3
0.103762, 0.103762, -13783.4
0.104546, 0.104546, -13783.6
0.101531, 0.101531, -13759.4
0.102527, 0.102527, -13754.2
0.0983781, 0.0983781, -13754.4
0.095663, 0.095663, -13755.5
0.100121, 0.100121, -13754.5
0.100414, 0.100414, -13750.1
0.102615, 0.102615, -13749
0.0989077, 0.0989077, -13745.6
0.0957846, 0.0957846, -13746.6
0.101934, 0.101934, -13749.8
0.096086, 0.096086, -13741.3
0.0987841, 0.0987841, -13739.1
0.0992301, 0.0992301, -13745.9
0.0927109, 0.0927109, -13734.1
0.10014, 0.10014, -13753.9
0.102304, 0.102304, -13736.9
0.099167, 0.099167, -13738
0.0969357, 0.0969357, -13736
0.0974603, 0.0974603, -13740
0.0954935, 0.0954935, -13737.4
0.0952826, 0.0952826, -13740.2
0.0996826, 0.0996826, -13737.7
0.101942, 0.101942, -13734.6
0.0997811, 0.0997811, -13734.8
0.0986094, 0.0986094, -13727.3
0.0954306, 0.0954306, -13735.3
0.097573, 0.097573, -13737.2
