# FBP,BGP,LogLik
0.097710,0.097710,-7868.253073
0.183529,0.183529,-9119.211089
0.146091,0.146091,-8501.588405
0.187731,0.187731,-9194.100688
0.151540,0.151540,-8585.525812
0.044939,0.044939,-7568.118705
0.137933,0.137933,-8380.105771
0.047688,0.047688,-7564.508929
0.058123,0.058123,-7577.786142
0.044289,0.044289,-7569.484799
0.099275,0.099275,-7884.956491
0.086803,0.086803,-7760.899528
0.181427,0.181427,-9082.137702
0.118626,0.118626,-8114.620690
0.071955,0.071955,-7644.745071
0.124670,0.124670,-8194.186010
0.068307,0.068307,-7622.640463
0.167263,0.167263,-8839.477946
0.017817,0.017817,-7922.342176
0.043743,0.043743,-7570.794338
0.018810,0.018810,-7890.632536
0.173431,0.173431,-8943.593607
0.054413,0.054413,-7568.707467
0.198946,0.198946,-9399.077757
0.030381,0.030381,-7660.704151
0.064834,0.064834,-7604.379559
0.178665,0.178665,-9033.834056
0.127079,0.127079,-8226.819931
0.098961,0.098961,-7881.586151
0.032765,0.032765,-7634.777250
0.158185,0.158185,-8690.770919
0.066605,0.066605,-7613.336134
