# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.183679,0.183679,-10825.868520, -10850.985660
2,0.018259,0.018259,-12330.658516, -12431.094930
2,0.092731,0.092731,-10471.745412, -10492.728946
2,0.100443,0.100443,-10465.415548, -10498.166767
2,0.062734,0.062734,-10824.134014, -10880.237527
2,0.009468,0.009468,-13523.733952, -13587.365259
2,0.048337,0.048337,-10914.027267, -10988.803438
2,0.019106,0.019106,-12253.256742, -12504.566151
2,0.047650,0.047650,-10929.785341, -10973.930753
2,0.161558,0.161558,-10646.980840, -10671.545548
2,0.178996,0.178996,-10783.600616, -10841.204910
2,0.008645,0.008645,-13697.104332, -13768.549888
2,0.060389,0.060389,-10697.541611, -10732.534113
2,0.196116,0.196116,-10948.574324, -11037.553388
2,0.107901,0.107901,-10471.385378, -10490.915274
2,0.125262,0.125262,-10488.777731, -10579.961230
2,0.001109,0.001109,-18084.389178, -18246.093725
2,0.096982,0.096982,-10466.571568, -10500.424994
2,0.197666,0.197666,-10964.879735, -11044.874200
2,0.075037,0.075037,-10546.801101, -10631.757046
2,0.019408,0.019408,-12226.687680, -12318.645791
2,0.092382,0.092382,-10472.363764, -10495.612589
2,0.192601,0.192601,-10912.395853, -10991.365298
2,0.068366,0.068366,-10749.826469, -10813.368494
2,0.159785,0.159785,-10635.043341, -10765.943698
2,0.159769,0.159769,-10634.942161, -10674.611696
2,0.041650,0.041650,-11087.459659, -11195.922121
2,0.088674,0.088674,-10480.863887, -10577.514088
2,0.143120,0.143120,-10542.634146, -10576.717732
2,0.082104,0.082104,-10505.272736, -10520.231408
2,0.038201,0.038201,-11197.109633, -11262.868514
2,0.193499,0.193499,-10921.527429, -10982.118986
3,0.183679,0.183679,-10874.002077, -10953.346125
3,0.018259,0.018259,-11222.228699, -11518.775922
3,0.092731,0.092731,-10187.012166, -10543.112535
3,0.100443,0.100443,-10234.126705, -10434.281810
3,0.062734,0.062734,-10523.293186, -10622.524548
3,0.009468,0.009468,-12072.117306, -12462.213429
3,0.048337,0.048337,-10323.803863, -10495.842553
3,0.019106,0.019106,-11273.438699, -11789.308356
3,0.047650,0.047650,-10372.727801, -10600.732415
3,0.161558,0.161558,-10659.023192, -10810.246529
3,0.178996,0.178996,-10823.264747, -10916.585279
3,0.008645,0.008645,-12192.780025, -12519.158599
3,0.060389,0.060389,-10307.985570, -10662.498102
3,0.196116,0.196116,-11004.363091, -11152.943641
3,0.107901,0.107901,-10229.873574, -10408.421378
3,0.125262,0.125262,-10336.500726, -10488.057585
3,0.001109,0.001109,-15032.354837, -15548.069856
3,0.096982,0.096982,-10206.755028, -10545.233219
3,0.197666,0.197666,-11021.798055, -11175.428802
3,0.075037,0.075037,-10233.097303, -10370.925406
3,0.019408,0.019408,-11168.367789, -11492.326027
3,0.092382,0.092382,-10170.465937, -10340.835952
3,0.192601,0.192601,-10965.700758, -11112.268740
3,0.068366,0.068366,-10189.618374, -10451.721890
3,0.159785,0.159785,-10640.728866, -10748.682234
3,0.159769,0.159769,-10653.965865, -10771.015819
3,0.041650,0.041650,-10536.781287, -10922.379462
3,0.088674,0.088674,-10232.698643, -10472.702330
3,0.143120,0.143120,-10480.652919, -10653.079514
3,0.082104,0.082104,-10155.165442, -10320.434812
3,0.038201,0.038201,-10543.943561, -10751.553897
3,0.193499,0.193499,-10975.552367, -11038.066675
4,0.183679,0.183679,-11013.139185, -11126.295479
4,0.018259,0.018259,-10406.033675, -11181.255535
4,0.092731,0.092731,-10024.427195, -10510.703598
