# Model,FBP,BGP,MarginalLogLik
2,0.069647,0.069647,-9456.865191
2,0.028614,0.028614,-10141.103120
3,0.069647,0.069647,-9007.338164
3,0.028614,0.028614,-9216.529553
4,0.069647,0.069647,-9137.243053
4,0.028614,0.028614,-8656.788217
5,0.069647,0.069647,-8746.952890
5,0.028614,0.028614,-8461.779653
6,0.069647,0.069647,-9273.159706
6,0.028614,0.028614,-9205.712415
7,0.069647,0.069647,-9178.848599
7,0.028614,0.028614,-9581.150341
8,0.069647,0.069647,-9494.131541
8,0.028614,0.028614,-9558.432641
9,0.069647,0.069647,-9966.406694
9,0.028614,0.028614,-10998.619379
10,0.069647,0.069647,-10398.251437
10,0.028614,0.028614,-9606.118421
